older,newer,delta_mae_new_minus_old,paired_mae_ci95,delta_mae_seconds,episodes_improved,episodes_worsened,delta_rmse_new_minus_old,paired_rmse_ci95
1500,3000,-0.001178696744838297,"[-0.002092415503430597, -0.00024815181631246245]",-0.5847121652227846,39,17,-0.000748215599508776,"[-0.0027511436591081758, 0.0012377285200096456]"
1500,4750,-0.0012600465806826833,"[-0.0024053752959876614, -0.0001636725807478408]",-0.6250671071239897,37,19,-0.0006466301786392306,"[-0.003094369847980407, 0.0013240121887429014]"
1500,5500,-0.0011694403693971772,"[-0.0022503417558726014, -0.00019180130395203158]",-0.5801203859122931,34,22,-0.0009565120789537668,"[-0.0030383202259819395, 0.0006647041173143882]"
3000,4750,-8.134983584438617e-05,"[-0.0008192045147487598, 0.0006615994871838536]",-0.040354941901205164,25,31,0.00010158542086954533,"[-0.0012907132202005928, 0.001465636736166733]"
3000,5500,9.256375441119807e-06,"[-0.0007433493878839467, 0.000749417214808545]",0.004591779310491499,24,32,-0.00020829647944499083,"[-0.001599297979884058, 0.001225529532751663]"
4750,5500,9.060621128550597e-05,"[-0.00023258028901896718, 0.0004183401261083678]",0.04494672121169666,29,27,-0.00030988190031453616,"[-0.000807710432168259, 0.00031271388093756964]"
