task,reference_steps,steps,effective_epoch,train_ce_32,train_mae_32,heldout_ce_128,heldout_mae_128,heldout_rmse_128,heldout_crps_128,mae_seconds,baseline_mae,coverage90,checkpoint
piperx,1500,1500,0.04237650999423503,1.7785946190955915,0.005972927706612349,2.4865051563413414,0.013319100260494971,0.020267070979830257,0.009732403142724675,6.607161669222872,0.05476174029484225,0.7924107142857143,/data/experiments/value-ablation-20260906/runs/piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1/checkpoint-001500.pt
piperx,3000,3000,0.08475301998847005,1.4352752074399697,0.0036157242086898933,2.687980568797294,0.012487672347106127,0.020651697651316876,0.009963247312553238,6.194717995654446,0.05476174029484225,0.6428571428571429,/data/experiments/value-vision-schedules-20260907/runs/piperx-visionlean-cosine-fixed3000-seed1000/checkpoint-003000.pt
fold,1500,1491,0.0423971372690848,2.5467494319785726,0.013461951809321445,3.7940399186601015,0.03770876776781568,0.05068124455396109,0.028178257337127765,45.10722800386112,0.0889929107136347,0.6867897727272727,/data/experiments/value-vision-schedules-20260907/cross-task-epoch/runs/fold-visionlean-eq1500-steps1491-seed1000/checkpoint-001491.pt
