variant,architecture,checkpoint_step,schedule,train_ce,holdout_ce,train_mae,holdout_mae,holdout_rmse,holdout_frames_per_episode,checkpoint
full,完整版：图像＋任务＋state,3000,old8000_intermediate,1.688722656324639,2.636522616675523,0.005987066949923506,0.01217829542279755,0.019836792180780518,32,/data/experiments/value-demo3-20260906/runs/piperx_insert_copper_screw-bf16-gb32-seed1000-pilot8k-v1/checkpoint-003000.pt
vision_only,纯视觉：无语言、无state,1500,fixed1500_final,1.7785946190955915,2.480585411856217,0.005972927706612349,0.013428070152778153,0.020619418103058403,32,/data/experiments/value-ablation-20260906/runs/piperx_insert_copper_screw-vision_only-fixed1500-seed1000-v1/checkpoint-001500.pt
frozen_language,冻结语言：视觉可训练,1500,fixed1500_final,1.9386655103215682,2.47308498032258,0.006508119233071089,0.014119529924885552,0.0218935004722594,32,/data/experiments/value-ablation-20260906/runs/piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1/checkpoint-001500.pt
frozen_both,冻结视觉和语言,1500,fixed1500_final,3.0511000120480145,3.0622353443343724,0.03388603246899687,0.03328593400549705,0.044770776552760544,32,/data/experiments/value-ablation-20260906/runs/piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1/checkpoint-001500.pt
task_only,图像＋任务：无state,1500,fixed1500_final,1.8599477028806828,2.5077590627562523,0.0061146277296627105,0.01381523059639481,0.02099830827065131,32,/data/experiments/value-ablation-20260906/runs/piperx_insert_copper_screw-task_only-fixed1500-seed1000-v1/checkpoint-001500.pt
