run,variant,fixed_horizon,step,effective_epoch,is_fixed_endpoint,train_ce,train_mae,train_rmse,train_episode_mae,train_crps,train_bias,train_entropy,train_interval90_coverage,train_interval90_width,test_ce,test_mae,test_rmse,test_episode_mae,test_crps,test_bias,test_entropy,test_interval90_coverage,test_interval90_width
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,250,0.0070627516657058385,False,3.702822469574,0.05538778766016809,0.06410383370749959,0.05538778766016809,0.032901966058748906,-0.02826311944642969,3.9297069643757174,0.9084821428571429,0.23292130606049405,3.7285551109484265,0.058370739250676706,0.06848742577066688,0.058370739250676706,0.03471953664224462,-0.027534198460801105,3.929346906819514,0.8911830357142857,0.23295757847206136
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,500,0.014125503331411677,False,3.3961192978812114,0.04605738469789295,0.05416451655051661,0.04605738469789295,0.027295569519375413,-0.022635367097921386,3.6524680371263196,0.9592633928571429,0.2037946377287361,3.420291310009946,0.04817891938390468,0.05853012564432086,0.04817891938390468,0.02903478202681851,-0.02105180990240894,3.6503513110801578,0.9425223214285714,0.20383649031542259
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,750,0.021188254997117514,False,3.2128288242633323,0.03936834152175704,0.047507602384486654,0.03936834152175704,0.02343461479907611,-0.01967559699629159,3.494321068083601,0.9603794642857143,0.17997209354195678,3.226500344495954,0.04005302951801631,0.05034391989350023,0.04005302951801631,0.02436654747886483,-0.01679432591000867,3.475569330688034,0.9430803571428571,0.17876115585854027
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,1000,0.028251006662823354,False,3.1280015466867814,0.037631573088609524,0.04628418660294255,0.037631573088609524,0.022297153032760825,-0.021749082860878843,3.4383408410607705,0.9564732142857143,0.17293526343928534,3.1308820717968047,0.03704622619118579,0.04779500036327955,0.03704622619118579,0.022669470976357582,-0.01797296506330375,3.4061599829500273,0.9425223214285714,0.17054687029199808
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,1250,0.03531375832852919,False,3.060730906469481,0.03426473539808025,0.0430947965564375,0.03426473539808025,0.020906654056326652,-0.017017334278404763,3.354886835108378,0.9536830357142857,0.15782923701980117,3.072436048882082,0.03367735594019905,0.045075870165491444,0.03367735594019905,0.02134693399762,-0.01311021274666148,3.316889782037054,0.9341517857142857,0.15452008560012992
piperx_insert_copper_screw-frozen_both-fixed1500-seed1000-v1,frozen_both,1500,1500,0.04237650999423503,True,3.0511000120480145,0.03388603246899687,0.04276328546183651,0.03388603246899687,0.020699428356367986,-0.016666661862732975,3.347398068356727,0.953125,0.15712890212307684,3.0622353443343724,0.03328593400549705,0.044770776552760544,0.03328593400549705,0.02115082544087597,-0.012753204510512919,3.308336626871356,0.9358258928571429,0.1535965365323396
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,250,0.0070627516657058385,False,3.2635748855037883,0.050091346374496686,0.057465746024583736,0.050091346374496686,0.024773640870599984,-0.04549192900386905,3.605053778405168,0.8967633928571429,0.2464480989167766,3.297106027969026,0.05134974556598796,0.05922116893987539,0.05134974556598796,0.026025733580484354,-0.04344368364659853,3.5907634519971907,0.89453125,0.24639508589669795
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,500,0.014125503331411677,False,2.601438141926857,0.015012216570799606,0.020876682565164034,0.015012216570799606,0.01071483409519455,-0.003137919970218458,2.765488788219435,0.9375,0.08363001952914471,2.7301501794718206,0.019386802554436144,0.02837828277471403,0.019386802554436144,0.013547790298032072,-0.00010457656623787313,2.7450778389881765,0.9174107142857143,0.08164899279082809
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,750,0.021188254997117514,False,2.273919661895239,0.010474389800817465,0.015441317915435642,0.010474389800817465,0.007494595196281547,-0.0033786732231289663,2.5445073004812,0.9676339285714286,0.06528738601316166,2.5571203637768383,0.01630462223329232,0.024320597275467044,0.01630462223329232,0.011417696425171795,-0.00040446018257560875,2.5266675180755556,0.9001116071428571,0.06366350236047376
piperx_insert_copper_screw-frozen_language-fixed1500-seed1000-v1,frozen_language,1500,1000,0.028251006662823354,False,2.1158888356959715,0.009684130303477494,0.016100156848100133,0.009684130303477494,0.006615456358775061,-0.004119821877533728,2.3752183712619757,0.9631696428571429,0.05812499872627086,2.5006615488590405,0.014618778726928992,0.022508991827433072,0.014618778726928992,0.010478458868760754,-0.0009586730467552636,2.360886015264051,0.8677455357142857,0.056994976255477274
